,Baseline,Baseline,Baseline,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 4,Year 4,Year 4
,Original,Replication,Closest,Original,Replication,Closest,Original,Replication,Closest,Original,Replication,Closest
% Caucasian,95.1,95.1,93.9,94.4,95.2,94.2,97.8,97.1,96.4,97.0,97.9,97.6
% African-American,2.4,2.0,2.4,1.9,1.6,1.9,0,0.0,0.0,0,0.0,0.0
% Asian,3.7,2.9,3.7,5.6,3.2,3.8,4.4,2.9,3.6,3.0,2.1,2.4
% Hispanic,1.2,1.0,0.0,0,1.6,0.0,0,1.5,0.0,0,0.0,0.0
% Male,67.0,66.7,67.1,68.5,65.1,69.2,82.2,76.5,80.4,75.8,70.2,68.3
% right-handed,89.0,89.2,89.0,85.2,87.3,88.5,88.9,91.2,91.1,87.9,87.2,87.8
"Mean age, years",62.1 ± 9.8,62.1 ± 9.5,62.2 ± 9.7,61.9 ± 10.3,62.5 ± 9.7,62.9 ± 10.0,63.6 ± 9.2,63.5 ± 9.8,63.9 ± 10.0,59.5 ± 11.0,65.7 ± 9.7**,65.0 ± 10.0**
Mean years of education,15.6 ± 3.0,15.6 ± 2.8,15.7 ± 2.9,15.1 ± 3.2,15.1 ± 2.6,15.1 ± 2.6,15.1 ± 3.3,15.3 ± 2.7,15.3 ± 2.7,15.0 ± 3.4,15.4 ± 3.0,15.5 ± 3.1
"Mean disease duration at baseline, days",770 ± 565,870.4 ± 597.1,764.7 ± 558.0,808 ± 576,998.3 ± 593.1*,883.9 ± 545.2,771 ± 506,902.9 ± 566.4,785.4 ± 526.2,532 ± 346,743.7 ± 591.8*,674.0 ± 556.4
Mean MDS-UPDRS at baseline,33.9 ± 15.8,34.5 ± 15.6,33.9 ± 16.1,38.0 ± 20.9,33.7 ± 15.3*,33.9 ± 15.7,40.2 ± 18.2,34.0 ± 15.2**,34.1 ± 15.5**,34.9 ± 15.7,31.7 ± 14.4,29.8 ± 14.1*
Mean MDS-UPDRS at timepoint,-,-,-,39.2 ± 21.6,39.5 ± 22.2,39.5 ± 22.8,40.9 ± 18.5,40.7 ± 19.7,40.9 ± 20.6,35.9 ± 16.5,41.9 ± 21.6,40.0 ± 21.4
Mean MoCA at baseline,26.7 ± 2.8,26.5 ± 3.0,26.4 ± 2.8,26.9 ± 3.2,27.0 ± 2.9,26.8 ± 3.0,26.7 ± 3.5,26.9 ± 2.4,26.7 ± 2.2,27.5 ± 2.3,26.7 ± 3.2,26.8 ± 3.1
Mean GDS at Baseline,5.4 ± 1.4,5.4 ± 1.4,5.4 ± 1.5,5.4 ± 1.6,5.5 ± 1.7,5.6 ± 1.8,5.4 ± 1.2,5.5 ± 1.4,5.6 ± 1.4,5.4 ± 1.7,5.8 ± 1.7,5.8 ± 1.8
Mean Hoehn-Yahr stage,1.8 ± 0.5,1.7 ± 0.5,1.7 ± 0.5,1.8 ± 0.5,1.7 ± 0.5,1.7 ± 0.5,1.8 ± 0.5,1.8 ± 0.5,1.9 ± 0.5,1.7 ± 0.5,1.9 ± 0.5*,1.9 ± 0.5*
Number of subject,82,102,82,53,63,52,45,68,56,33,47,41
